ParticipantID,VOICE_NUMBER,VOICE_TYPE,HEALTH,DOMINANCE
31,10,2,2,.428571428571429
31,11,2,7,5
31,12,2,6,3.5
31,13,2,7.75,2.5
31,14,2,5,2.5
31,15,2,7.75,1.5
31,16,2,7.75,1.5
31,17,2,4,2
31,18,2,6.75,6
31,19,2,7.5,1.5
31,20,1,2.5,.357142857142857
32,1,1,6.5,5.5
32,2,1,3.25,5
32,3,1,5,6
32,4,1,6.25,6.5
32,5,1,4,5
32,6,1,4,5
32,7,1,5.25,8
32,8,1,2.75,4
32,9,1,6.25,6
32,10,2,4.5,.238095238095238
32,11,2,4.75,5.5
32,12,2,3.5,2
32,13,2,5.75,7
32,14,2,5.25,5.5
32,15,2,4.25,4
32,16,2,4.25,4
32,17,2,3.5,6
32,18,2,4.5,3.5
32,19,2,5.75,5.5
32,20,1,3.5,.166666666666667
33,1,1,6,5
33,2,1,7,7.5
33,3,1,7,5.5
33,4,1,6,6
33,5,1,6.25,5.5
33,6,1,6.25,5.5
33,7,1,5,3.5
33,8,1,4.25,3.5
33,9,1,4,4
33,10,2,4.5,.214285714285714
33,11,2,4.5,3.5
33,12,2,4,2.5
33,13,2,5.75,6
33,14,2,6,4.5
33,15,2,4,5
33,16,2,4,5
33,17,2,6,3.5
33,18,2,4.5,4
33,19,2,3.25,4
33,20,1,3.25,.166666666666667
34,1,1,4,5
34,2,1,4.5,5
34,3,1,4.25,5
34,4,1,6,3
34,5,1,5,6.5
34,6,1,5,6.5
34,7,1,5.25,7.5
34,8,1,5.25,3.5
34,9,1,5.75,6.5
34,10,2,5.5,.261904761904762
34,11,2,5.25,4.5
34,12,2,3.5,5.5
34,13,2,6.5,3.5
34,14,2,7.25,5
34,15,2,4.25,2
34,16,2,4.25,2
34,17,2,4,5
34,18,2,4.5,5.5
34,19,2,4.5,3
34,20,1,4.5,.214285714285714
35,1,1,2.25,3.5
35,2,1,3.5,2.5
35,3,1,3,2
35,4,1,4.75,3
35,5,1,7.75,7.5
35,6,1,7.75,7.5
35,7,1,4.75,4.5
35,8,1,8,6
35,9,1,8.75,6.5
35,10,2,7,.19047619047619
35,11,2,5.5,6
35,12,2,3.75,3
35,13,2,5.25,5
35,14,2,6,5.5
35,15,2,1.5,1
35,16,2,1.5,1
35,17,2,3.25,4
35,18,2,6.75,6.5
35,19,2,2,4
35,20,1,6,.357142857142857
40,1,1,7.25,5.5
40,2,1,4.75,5.5
40,3,1,7,5
40,4,1,6.5,5
40,5,1,6.25,5
40,6,1,6.25,5
40,7,1,3.75,6.5
40,8,1,6.5,4
40,9,1,4.75,7
40,10,2,4,.333333333333333
40,11,2,6,5.5
40,12,2,5,4
40,13,2,8,4.5
40,14,2,4.5,5
40,15,2,6.5,1.5
40,16,2,6.5,1.5
40,17,2,4.5,2.5
40,18,2,5.75,5.5
40,19,2,6,4.5
40,20,1,6,.119047619047619
43,1,1,5,4
43,2,1,6,4.5
43,3,1,6.5,6
43,4,1,3.75,6.5
43,5,1,3.5,5
43,6,1,3.5,5
43,7,1,3.75,5.5
43,8,1,4,3.5
43,9,1,5.5,4
43,10,2,4.5,.30952380952381
43,11,2,4.5,4
43,12,2,6.25,1.5
43,13,2,4.25,5.5
43,14,2,5.5,7.5
43,15,2,5.5,6
43,16,2,5.5,6
43,17,2,5.25,5
43,18,2,4.75,3
43,19,2,5.5,3.5
43,20,1,5.75,.166666666666667
44,1,1,4,6.5
44,2,1,5,7
44,3,1,3.5,8
44,4,1,5.5,7.5
44,5,1,4.75,8
44,6,1,4.75,8
44,7,1,4.25,7.5
44,8,1,4,8
44,9,1,4.75,8
44,10,2,3.5,.404761904761905
44,11,2,5,9
44,12,2,5,7.5
44,13,2,4.75,9
44,14,2,5.75,8
44,15,2,4.5,7.5
44,16,2,4.5,7.5
44,17,2,4,7.5
44,18,2,4.75,8
44,19,2,4.25,7.5
44,20,1,5,.380952380952381
48,1,1,5.5,4.5
48,2,1,5.75,5.5
48,3,1,6.5,6.5
48,4,1,6,4.5
48,5,1,6.25,5
48,6,1,6.25,5
48,7,1,5.75,6
48,8,1,5.25,4
48,9,1,5.5,6.5
48,10,2,6.5,.285714285714286
48,11,2,7,6.5
48,12,2,5.25,5
48,13,2,5.75,5
48,14,2,5.5,4.5
48,15,2,7,5
48,16,2,7,5
48,17,2,6.5,5.5
48,18,2,6.75,3.5
48,19,2,5.75,5.5
48,20,1,6,.261904761904762
50,1,1,7.75,5.5
50,2,1,8.5,8.5
50,3,1,7,7
50,4,1,7.5,8.5
50,5,1,7,8
50,6,1,7,8
50,7,1,4.5,6.5
50,8,1,5.25,1
50,9,1,5,7
50,10,2,4,.166666666666667
50,11,2,3.75,6
50,12,2,3.25,1
50,13,2,6.25,8
50,14,2,6.75,6
50,15,2,3.25,1.5
50,16,2,3.25,1.5
50,17,2,3.25,5.5
50,18,2,5,7
50,19,2,6.25,5
50,20,1,2.25,.0714285714285714
51,1,1,5.5,6
51,2,1,6.5,6
51,3,1,6,6.5
51,4,1,7,5.5
51,5,1,6.5,4.5
51,6,1,6.5,4.5
51,7,1,4,5
51,8,1,3.5,4.5
51,9,1,4,6
51,10,2,4.25,.261904761904762
51,11,2,5,6
51,12,2,3.75,5
51,13,2,7,5
51,14,2,5.5,5.5
51,15,2,4,4.5
51,16,2,4,4.5
51,17,2,5,4.5
51,18,2,3.75,4.5
51,19,2,5.75,4.5
51,20,1,5.5,.238095238095238
54,1,1,4.5,7.5
54,2,1,7.25,5.5
54,3,1,6.75,4
54,4,1,6.25,5.5
54,5,1,7,7
54,6,1,7,7
54,7,1,5,8.5
54,8,1,3.75,4.5
54,9,1,5.25,8
54,10,2,4.5,.357142857142857
54,11,2,5.5,4
54,12,2,3,6.5
54,13,2,6.75,4.5
54,14,2,6,5.5
54,15,2,2.5,3.5
54,16,2,2.5,3.5
54,17,2,5,2
54,18,2,3,3
54,19,2,3,3.5
54,20,1,3.75,.333333333333333
55,1,1,4.75,4.5
55,2,1,4.75,8
55,3,1,4.25,6
55,4,1,3.75,7
55,5,1,3.75,4.5
55,6,1,3.75,4.5
55,7,1,5.5,5.5
55,8,1,4,5
55,9,1,5.5,7
55,10,2,4.5,.285714285714286
55,11,2,4.25,5
55,12,2,5,2
55,13,2,5.5,2
55,14,2,4.75,6
55,15,2,3.5,6
55,16,2,3.5,6
55,17,2,5,3.5
55,18,2,4.25,3.5
55,19,2,4.25,3.5
55,20,1,3.25,.0952380952380952
57,1,1,6.75,4.5
57,2,1,7.75,8
57,3,1,7,8
57,4,1,7.75,6.5
57,5,1,7.75,6
57,6,1,7.75,6
57,7,1,6,7.5
57,8,1,3.25,4.5
57,9,1,4,7
57,10,2,5.5,.333333333333333
57,11,2,5,4.5
57,12,2,3.5,2
57,13,2,8,5
57,14,2,7.25,6
57,15,2,5.75,2.5
57,16,2,5.75,2.5
57,17,2,5,5.5
57,18,2,3.75,4.5
57,19,2,6.75,5
57,20,1,5.5,.238095238095238
60,1,1,7,3
60,2,1,7.75,5
60,3,1,5,4.5
60,4,1,7.25,4
60,5,1,6.75,3
60,6,1,6.75,3
60,7,1,2.25,6.5
60,8,1,2,7.5
60,9,1,6.75,8
60,10,2,3.75,.380952380952381
60,11,2,6.25,4.5
60,12,2,2.5,2
60,13,2,6.75,5
60,14,2,7.25,7.5
60,15,2,4.5,3
60,16,2,4.5,3
60,17,2,4.5,8
60,18,2,5,4.5
60,19,2,6.75,5.5
60,20,1,3.25,.357142857142857
63,1,1,5.75,7
63,2,1,5,5
63,3,1,3.25,5.5
63,4,1,5.75,7.5
63,5,1,6,7
63,6,1,6,7
63,7,1,6,7.5
63,8,1,3.5,6
63,9,1,5.25,7.5
63,10,2,4.25,.333333333333333
63,11,2,6,4
63,12,2,4.5,6
63,13,2,6.75,5
63,14,2,6,6.5
63,15,2,4.75,3
63,16,2,4.75,3
63,17,2,4.5,4.5
63,18,2,4.5,7
63,19,2,5,6.5
63,20,1,5.5,.261904761904762
66,1,1,4.75,5
66,2,1,6,7
66,3,1,5.25,6.5
66,4,1,5,3.5
66,5,1,6.25,5.5
66,6,1,6.25,5.5
66,7,1,6.75,7
66,8,1,6,3.5
66,9,1,5,4.5
66,10,2,4.75,.333333333333333
66,11,2,5.5,6
66,12,2,6,5.5
66,13,2,5.5,5
66,14,2,5.75,4.5
66,15,2,3.5,3.5
66,16,2,3.5,3.5
66,17,2,3.5,4.5
66,18,2,5,7
66,19,2,3.25,2.5
66,20,1,4,.19047619047619
67,1,1,4.75,3.5
67,2,1,4.75,5
67,3,1,5.75,3.5
67,4,1,5.25,4.5
67,5,1,5,4
67,6,1,5,4
67,7,1,5.25,3
67,8,1,6,6
67,9,1,6,5
67,10,2,5.75,.166666666666667
67,11,2,4.5,4.5
67,12,2,4.75,3.5
67,13,2,4.75,4.5
67,14,2,5.25,3.5
67,15,2,4.75,4
67,16,2,4.75,4
67,17,2,4.75,3
67,18,2,4.5,4.5
67,19,2,4.75,4.5
67,20,1,6.25,.238095238095238
70,1,1,4.5,4.5
70,2,1,5.25,6
70,3,1,4.75,4
70,4,1,4.75,5
70,5,1,4.75,4.5
70,6,1,4.75,4.5
70,7,1,6,6
70,8,1,6,5.5
70,9,1,5.25,7
70,10,2,5.75,.261904761904762
70,11,2,5.25,5.5
70,12,2,5,5.5
70,13,2,5.25,5.5
70,14,2,5,4.5
70,15,2,5,5
70,16,2,5,5
70,17,2,4.75,5
70,18,2,5.25,5.5
70,19,2,5.5,5.5
70,20,1,5.5,.261904761904762
71,1,1,5.75,3.5
71,2,1,4.75,4.5
71,3,1,6.75,6
71,4,1,5.75,3
71,5,1,4.75,4.5
71,6,1,4.75,4.5
71,7,1,5,7
71,8,1,5,4.5
71,9,1,6,7.5
71,10,2,5.25,.357142857142857
71,11,2,5,6
71,12,2,6.25,5
71,13,2,5,4
71,14,2,5,6
71,15,2,4,6
71,16,2,4,6
71,17,2,4.5,4
71,18,2,5.5,4.5
71,19,2,3,2.5
71,20,1,5,.261904761904762
72,1,1,4.5,7
72,2,1,5.75,5.5
72,3,1,5.75,5
72,4,1,4.75,5
72,5,1,5.75,6.5
72,6,1,5.75,6.5
72,7,1,6.75,8
72,8,1,5.75,5
72,9,1,6,7.5
72,10,2,6,.357142857142857
72,11,2,6.75,5.5
72,12,2,2.75,4
72,13,2,4.5,5
72,14,2,6.5,6.5
72,15,2,4.5,3.5
72,16,2,4.5,3.5
72,17,2,3.75,5.5
72,18,2,5.5,6
72,19,2,3,3
72,20,1,6,.333333333333333
73,1,1,5,3
73,2,1,5.25,4
73,3,1,4.25,4.5
73,4,1,5.25,4.5
73,5,1,5.75,4
73,6,1,5.75,4
73,7,1,4.5,3
73,8,1,5,3.5
73,9,1,5.75,3.5
73,10,2,5.5,.166666666666667
73,11,2,4.25,3
73,12,2,5,3
73,13,2,4.75,4.5
73,14,2,6,4
73,15,2,5.5,4.5
73,16,2,5.5,4.5
73,17,2,4.25,3.5
73,18,2,6.25,2.5
73,19,2,4.25,3.5
73,20,1,5,.19047619047619
74,1,1,5.75,5
74,2,1,5.75,5.5
74,3,1,6.25,5
74,4,1,5.75,4
74,5,1,6,7.5
74,6,1,6,7.5
74,7,1,5.75,7.5
74,8,1,4.75,6.5
74,9,1,5.25,7.5
74,10,2,5.75,.333333333333333
74,11,2,4.5,7
74,12,2,6,5.5
74,13,2,6.75,3.5
74,14,2,6,6.5
74,15,2,5.25,2
74,16,2,5.25,2
74,17,2,6.25,3
74,18,2,7.25,6.5
74,19,2,6,6
74,20,1,6.25,.19047619047619
75,1,1,5.75,7.5
75,2,1,5.25,7.5
75,3,1,4,7
75,4,1,5.5,6.5
75,5,1,5.75,7
75,6,1,5.75,7
75,7,1,4.25,7
75,8,1,3.5,6.5
75,9,1,5.75,6.5
75,10,2,5,.333333333333333
75,11,2,4.75,7
75,12,2,4.5,8
75,13,2,5,6
75,14,2,4.5,7.5
75,15,2,5.75,6
75,16,2,5.75,6
75,17,2,4.25,8
75,18,2,5,5
75,19,2,4.5,6.5
75,20,1,3.75,.333333333333333
77,1,1,5.25,4
77,2,1,5,5
77,3,1,5.5,4.5
77,4,1,5,4.5
77,5,1,5.25,4.5
77,6,1,5.25,4.5
77,7,1,4.75,4.5
77,8,1,4.25,4.5
77,9,1,4.75,4
77,10,2,5,.238095238095238
77,11,2,4.25,5
77,12,2, ,4
77,13,2,4.75,4.5
77,14,2,5.5,5
77,15,2,4.75,5
77,16,2,4.75,5
77,17,2,5,5
77,18,2,5,5
77,19,2,4.75,4.5
77,20,1,5,.19047619047619
79,1,1,5,5
79,2,1,5.75,5.5
79,3,1,7.75,6.5
79,4,1,6.75,3.5
79,5,1,4.25,6
79,6,1,4.25,6
79,7,1,5.75,6.5
79,8,1,6.25,7
79,9,1,5.75,7.5
79,10,2,5.25,.285714285714286
79,11,2,5,7.5
79,12,2,5.25,5
79,13,2,4.75,6.5
79,14,2,4.75,7
79,15,2,5,2.5
79,16,2,5,2.5
79,17,2,5,2
79,18,2,5.25,5.5
79,19,2,5.25,4.5
79,20,1,6.5,.285714285714286
93,1,1,5.25,4
93,2,1,4.25,7
93,3,1,6.25,6.5
93,4,1,5.75,4
93,5,1,5.5,6.5
93,6,1,5.5,6.5
93,7,1,3,4.5
93,8,1,5.75,6
93,9,1,4,7
93,10,2,4.5,.19047619047619
93,11,2,4.5,5.5
93,12,2,2.5,1.5
93,13,2,4.75,3.5
93,14,2,4.75,6
93,15,2,4,5
93,16,2,4,5
93,17,2,4,1.5
93,18,2,5,5.5
93,19,2,2.75,3.5
93,20,1,4.5,.166666666666667
96,1,1,8.5,7.5
96,2,1,7,5.5
96,3,1,5.5,5.5
96,4,1,6.75,6
96,5,1,6.75,7.5
96,6,1,6.75,7.5
96,7,1,2.25,1.5
96,8,1,4,1.5
96,9,1,6.25,4.5
96,10,2,5,.166666666666667
96,11,2,3.25,4.5
96,12,2,2.75,1
96,13,2,6,7.5
96,14,2,5.5,7
96,15,2,3.75,2.5
96,16,2,3.75,2.5
96,17,2,3,1.5
96,18,2,6.25,6
96,19,2,5,4
96,20,1,4.25,.0476190476190476
97,1,1,5.25,5.5
97,2,1,5,8
97,3,1,4.5,7
97,4,1,4.25,7.5
97,5,1,4.75,7
97,6,1,4.75,7
97,7,1,5,5.5
97,8,1,5.5,6
97,9,1,5,7
97,10,2,5.5,.261904761904762
97,11,2,4.5,7
97,12,2,5.25,5.5
97,13,2,5.5,7.5
97,14,2,5.25,6.5
97,15,2,5.25,6.5
97,16,2,5.25,6.5
97,17,2,5.25,8
97,18,2,5.5,7.5
97,19,2,4.25,6
97,20,1,5.75,.30952380952381
100,1,1,5.75,4
100,2,1,6.25,6
100,3,1,5.5,5
100,4,1,5.75,4.5
100,5,1,5.25,6
100,6,1,5.25,6
100,7,1,5.25,6
100,8,1,4.75,4.5
100,9,1,5.25,7
100,10,2,3.75,.30952380952381
100,11,2,6,6.5
100,12,2,3.75,4.5
100,13,2,6,5
