ParticipantID,VOICE_NUMBER,VOICE_TYPE,HEALTH,ATTRACTIVENESS
4,10,2,5.25,.261904761904762
4,11,2,5,5.5
4,12,2,6.25,4.5
4,13,2,5.75,5
4,14,2,4.25,5.5
4,15,2,4.75,4.5
4,16,2,4.75,4.5
4,17,2,4.75,5
4,18,2,5,4
4,19,2,4.75,5.5
4,20,1,4.5,.261904761904762
21,1,1,5.75,4.5
21,2,1,4.75,4
21,3,1,6.25,6
21,4,1,5.5,7
21,5,1,6.5,6
21,6,1,6.5,6
21,7,1,4,4
21,8,1,5.25,7.5
21,9,1,4.25,4.5
21,10,2,3.75,.19047619047619
21,11,2,4,4
21,12,2,4.25,2.5
21,13,2,5.25,5
21,14,2,7,7
21,15,2,3.75,5
21,16,2,3.75,5
21,17,2,3.75,5.5
21,18,2,4.25,5
21,19,2,4.5,5.5
21,20,1,4.75,.214285714285714
28,1,1, ,4.5
28,2,1, ,8
28,3,1, ,7
28,4,1, ,4
28,5,1, ,8.5
28,6,1, ,8.5
28,7,1, ,9
28,8,1, ,9
28,9,1, ,9
28,10,2, ,.428571428571429
28,11,2, ,6
28,12,2, ,7
28,13,2, ,4.5
28,14,2, ,5
28,15,2, ,1
28,16,2, ,1
28,17,2, ,1
28,18,2, ,4.5
28,19,2, ,7
28,20,1, ,.30952380952381
53,1,1,5.25,4
53,2,1,5.25,3
53,3,1,6,4.5
53,4,1,5.25,5
53,5,1,6,5
53,6,1,6,5
53,7,1,4.5,3
53,8,1,4.25,6.5
53,9,1,4.5,7
53,10,2,5.25,.238095238095238
53,11,2,5,4.5
53,12,2,5,3.5
53,13,2,5.75,4
53,14,2,6,4
53,15,2,3.75,3.5
53,16,2,3.75,3.5
53,17,2,3.25,4.5
53,18,2,4,5.5
53,19,2,4.75,6
53,20,1,5,.238095238095238
58,1,1,5,4
58,2,1,6.25,5.5
58,3,1,7.25,5
58,4,1,6.25,5.5
58,5,1,5.75,6
58,6,1,5.75,6
58,7,1,4.25,4.5
58,8,1,3.75,4
58,9,1,5,5
58,10,2,4.5,.285714285714286
58,11,2,5.5,5
58,12,2,3.75,4
58,13,2,5.75,3.5
58,14,2,5.5,6
58,15,2,4.5,3
58,16,2,4.5,3
58,17,2,5.75,3.5
58,18,2,5.75,3.5
58,19,2,5.75,4
58,20,1,5.25,.261904761904762
103,1,1,5,5
103,2,1,5,6
103,3,1,5.25,4
103,4,1,5.75,6
103,5,1,4.75,5
103,6,1,4.75,5
103,7,1,4.5,4
103,8,1,4.25,6
103,9,1,5,5
103,10,2,4.75,.261904761904762
103,11,2,4.5,4
103,12,2,4.75,3
103,13,2,4.25,4
103,14,2,4.25,4
103,15,2,5.25,4.5
103,16,2,5.25,4.5
103,17,2,5.5,4.5
103,18,2,4,4
103,19,2,4,3
103,20,1,4.5,.19047619047619
111,1,1,4,6
111,2,1,5.25,7
111,3,1,6.5,8.5
111,4,1,8.5,5
111,5,1,2.75,7.5
111,6,1,2.75,7.5
111,7,1,5.75,7
111,8,1,4.75,5
111,9,1,3.25,3
111,10,2,5.25,.0952380952380952
111,11,2,5,3
111,12,2,6,5.5
111,13,2,7.25,6
111,14,2,4,6
111,15,2,4.75,3
111,16,2,4.75,3
111,17,2,5.25,6
111,18,2,7.25,8
111,19,2,6,2.5
111,20,1,4,.19047619047619
42,1,1,6,5
42,2,1,6.5,3.5
42,3,1,6.25,4.5
42,4,1,6.25,7
42,5,1,5.5,6
42,6,1,5.5,6
42,7,1,5.5,7.5
42,8,1,4.75,4
42,9,1,7.25,7
42,10,2,6.25,.261904761904762
42,11,2,6,6.5
42,12,2,5,4
42,13,2,4.75,6.5
42,14,2,6.75,7
42,15,2,4.75,2.5
42,16,2,4.75,2.5
42,17,2,5,6
42,18,2,5.75,3.5
42,19,2,4.75,6.5
42,20,1,5.5,.238095238095238
68,1,1,6.5,5
68,2,1,6.75,6.5
68,3,1,6,6.5
68,4,1,6,6.5
68,5,1,5.75,6.5
68,6,1,5.75,6.5
68,7,1,4.5,3
68,8,1,6.25,5
68,9,1,5.5,5
68,10,2,5.5,.19047619047619
68,11,2,5.25,6.5
68,12,2,4.75,4
68,13,2,6,5
68,14,2,5.25,5
68,15,2,6.25,4
68,16,2,6.25,4
68,17,2,5.25,5
68,18,2,5.5,5
68,19,2,5.5,5
68,20,1,4.25,.238095238095238
102,1,1,5.5,6
102,2,1,5,5
102,3,1,5.5,5.5
